pt_root_id,Area Membership
864691136267370740,V1
864691136487992850,V1
864691135698399765,RL
864691135698399765,V1
864691135698399765,V1
864691136274772749,V1
864691136135544971,V1
864691136135544971,V1
864691135740141716,V1
864691135740141716,V1
864691135686941408,V1
864691135686941408,V1
864691136124236582,V1
864691136436960926,V1
864691135738006641,V1
864691135323372956,V1
864691136522378641,V1
864691136522378641,RL
864691135938369589,V1
864691135582322797,V1
864691135800431458,V1
864691135518352522,AL
864691136436884382,V1
864691135618239631,V1
864691136297444891,V1
864691137054223478,V1
864691135293608460,V1
864691135479167430,V1
864691136024763705,V1
864691135954662152,V1
864691135916000614,V1
864691135082646775,V1
864691135618689935,V1
864691135568544236,V1
864691136618471309,V1
864691135494045328,V1
864691135738172785,V1
864691135494862736,V1
864691136297589787,V1
864691136297589787,V1
864691136297589787,V1
864691136176125446,V1
864691134918332682,V1
864691134918332682,V1
864691135698451733,V1
864691135698451733,V1
864691136175395078,V1
864691135065413956,V1
864691135941112692,V1
864691135810305484,V1
864691135100940576,V1
864691136577516564,V1
864691135584594552,V1
864691135367824633,V1
864691136619455373,V1
864691135938236213,V1
864691135658596738,V1
864691135610406407,V1
864691136134683787,V1
864691136021217016,V1
864691135479191494,V1
864691135355913679,V1
864691135355913679,RL
864691135864941694,V1
864691136009073582,V1
864691135969723749,V1
864691135910422697,V1
864691135502522178,V1
864691135807665949,V1
864691136312785469,V1
864691136042107734,V1
864691135472942642,V1
864691135403711470,V1
864691135403711470,V1
864691135645544943,V1
864691136926441546,RL
864691134940963939,V1
864691135561568481,V1
864691136419760279,V1
864691136135726731,RL
864691135118540765,V1
864691135394702581,V1
864691135658886018,V1
864691135989304320,V1
864691136100931701,V1
864691135731124665,V1
864691135731124665,V1
864691135610013703,V1
864691135374011080,V1
864691135851123655,V1
864691135918886064,V1
864691135918886064,V1
864691134989407354,V1
864691134989407354,V1
864691135730105529,V1
864691135988046595,V1
864691135700207138,V1
864691135865557893,V1
864691135738462321,V1
864691136726636260,V1
864691136903986098,V1
864691136042219094,V1
864691135617798543,V1
864691135910596009,V1
864691135590358539,V1
864691135783296819,V1
864691135502910389,V1
864691135386073941,V1
864691135937908021,V1
864691136011603107,V1
864691136032562875,V1
864691135865530588,V1
864691135526892891,V1
864691135946416676,V1
864691136209899708,V1
864691135368012281,V1
864691136595537570,V1
864691136926428234,V1
864691136926428234,V1
864691135864971134,V1
864691135615114443,V1
864691135615114443,V1
864691135864734684,V1
864691135885042032,V1
864691135655126722,V1
864691135655126722,V1
864691136990871957,V1
864691136990871957,V1
864691136010955683,V1
864691135383527898,V1
864691135495342224,V1
864691135495342224,V1
864691135066232644,V1
864691135716197914,V1
864691135498699027,V1
864691135725025195,V1
864691136451789311,V1
864691135738256497,V1
864691136228208977,V1
864691135866369046,V1
864691136423518767,V1
864691135658751106,V1
864691135591211019,V1
864691135591211019,V1
864691135591211019,V1
864691135726362175,V1
864691135847938398,V1
864691135992581569,V1
864691135304040359,V1
864691135349133015,V1
864691136389683216,V1
864691135571267365,V1
864691135416538810,V1
864691135476982696,V1
864691135476982696,V1
864691135292728246,V1
864691135492302431,V1
864691135786045124,V1
864691136389616912,V1
864691135585814652,V1
864691135616899689,V1
864691135404657390,V1
864691135441561928,V1
864691135469055570,V1
864691136741630044,RL
