,Input Depth,Output Depth,Area Membership Root,Area Membership Post
93,350.47286245396253,346.91206727956916,RL,V1
94,333.2821150261891,346.91206727956916,AL,V1
95,373.3921533667436,346.91206727956916,V1,V1
96,224.10475434624155,346.91206727956916,V1,V1
97,307.55855146305873,346.91206727956916,V1,V1
98,300.0625434268451,346.91206727956916,V1,V1
99,299.53567031588307,346.91206727956916,V1,V1
100,130.4055029473636,346.91206727956916,V1,V1
101,130.4055029473636,346.91206727956916,V1,V1
102,361.7701845370575,346.91206727956916,V1,V1
103,316.40763596701106,346.91206727956916,RL,V1
104,159.63807066556038,346.91206727956916,V1,V1
105,293.2010927330573,346.91206727956916,V1,V1
106,293.2010927330573,346.91206727956916,V1,V1
107,320.0508577474566,346.91206727956916,V1,V1
108,320.0508577474566,346.91206727956916,V1,V1
109,256.90190430840926,346.91206727956916,V1,V1
110,294.918789503891,346.91206727956916,V1,V1
111,297.09454482762277,346.91206727956916,V1,V1
112,304.6660715991798,346.91206727956916,V1,V1
113,312.80949997512516,346.91206727956916,V1,V1
114,291.5592923833714,346.91206727956916,RL,V1
115,335.40344817181426,346.91206727956916,RL,V1
116,335.40344817181426,346.91206727956916,RL,V1
117,265.79309861785435,346.91206727956916,RL,V1
118,342.0690615552782,346.91206727956916,RL,V1
119,257.37869030181486,346.91206727956916,V1,V1
120,250.37906355441473,346.91206727956916,RL,V1
121,264.50658218171696,346.91206727956916,RL,V1
122,304.5208996251829,346.91206727956916,V1,V1
123,337.82567328067967,346.91206727956916,RL,V1
124,435.1832337559732,546.828513253171,RL,V1
125,214.54362676721107,546.828513253171,V1,V1
126,214.54362676721107,546.828513253171,V1,V1
127,293.6318396670472,546.828513253171,V1,V1
128,409.4049016102177,546.828513253171,V1,V1
129,249.51540426313534,546.828513253171,V1,V1
130,362.90401478889555,546.828513253171,RL,V1
131,346.590394935813,546.828513253171,V1,V1
132,401.90198623003886,546.828513253171,AL,V1
133,207.11273268892717,546.828513253171,RL,V1
134,450.36912119490347,546.828513253171,RL,V1
135,78.80410032529937,546.828513253171,V1,V1
136,528.6635004542572,546.828513253171,V1,V1
137,371.9579526020471,546.828513253171,V1,V1
138,158.1797077306534,546.828513253171,V1,V1
139,248.27475342078245,546.828513253171,V1,V1
140,537.7625240559685,546.828513253171,V1,V1
141,212.81529603843106,546.828513253171,V1,V1
142,212.81529603843106,546.828513253171,RL,V1
143,485.81178843300177,546.828513253171,V1,V1
144,485.81178843300177,546.828513253171,V1,V1
145,392.68143190090353,546.828513253171,RL,V1
146,184.60401414246945,546.828513253171,RL,V1
147,326.4736420170682,546.828513253171,V1,V1
148,326.4736420170682,546.828513253171,V1,V1
149,358.7627635327674,546.828513253171,V1,V1
150,247.2539561874114,402.40122838490885,V1,AL
151,383.8601215908763,402.40122838490885,RL,AL
152,463.11356380838987,402.40122838490885,RL,AL
153,361.6408213156347,402.40122838490885,V1,AL
154,130.4055029473636,402.40122838490885,V1,AL
155,130.4055029473636,402.40122838490885,V1,AL
156,406.26225136107143,402.40122838490885,V1,AL
157,207.11273268892717,402.40122838490885,V1,AL
158,238.98636750549375,402.40122838490885,RL,AL
159,224.10475434624155,402.40122838490885,V1,AL
160,224.10475434624155,402.40122838490885,V1,AL
161,296.90902529852474,402.40122838490885,RL,AL
162,255.03949919208333,402.40122838490885,V1,AL
163,368.2315801252261,402.40122838490885,V1,AL
164,278.10014794194853,402.40122838490885,RL,AL
165,156.91582039486764,402.40122838490885,V1,AL
166,156.91582039486764,402.40122838490885,V1,AL
167,434.2003842064322,402.40122838490885,V1,AL
168,236.63286943176092,402.40122838490885,V1,AL
169,301.60596359983975,402.40122838490885,V1,AL
170,240.24022616943944,402.40122838490885,V1,AL
171,425.13884571353435,402.40122838490885,V1,AL
172,299.8428632834944,402.40122838490885,V1,AL
173,161.34186627902002,402.40122838490885,V1,AL
174,161.34186627902002,402.40122838490885,V1,AL
175,200.61818599900772,115.18819958973914,RL,AL
176,179.6705763792402,115.18819958973914,RL,AL
177,179.6705763792402,115.18819958973914,RL,AL
178,344.880704651353,115.18819958973914,RL,AL
179,344.880704651353,115.18819958973914,V1,AL
180,194.41999673229952,115.18819958973914,RL,AL
181,197.79400082304252,115.18819958973914,V1,AL
182,171.46758231184648,115.18819958973914,V1,AL
183,324.7625931818686,565.472307163622,V1,AL
184,378.952290491297,565.472307163622,V1,AL
185,378.952290491297,565.472307163622,V1,AL
186,395.0707674233246,565.472307163622,RL,AL
187,291.5592923833714,565.472307163622,V1,AL
188,256.7053184741464,565.472307163622,RL,AL
189,275.32856223810177,565.472307163622,V1,AL
190,174.35035126083724,565.472307163622,V1,AL
191,174.35035126083724,565.472307163622,V1,AL
192,352.00316232829607,565.472307163622,V1,AL
193,114.5937850554972,565.472307163622,V1,AL
194,470.32313060994176,565.472307163622,RL,AL
195,517.9233109632767,565.472307163622,V1,AL
196,517.9233109632767,565.472307163622,AL,AL
197,345.18437153794963,491.60449365857073,V1,RL
198,345.18437153794963,491.60449365857073,V1,RL
199,461.4963288018225,491.60449365857073,RL,RL
200,348.2361844682743,491.60449365857073,V1,RL
201,348.2361844682743,491.60449365857073,V1,RL
202,279.7051565186021,491.60449365857073,V1,RL
203,347.35472130628904,491.60449365857073,RL,RL
204,158.1797077306534,491.60449365857073,V1,RL
205,325.95411123100916,491.60449365857073,RL,RL
206,325.95411123100916,491.60449365857073,V1,RL
207,265.641308409278,491.60449365857073,AL,RL
208,250.38270527918388,491.60449365857073,AL,RL
209,237.60693479667867,491.60449365857073,V1,RL
210,237.60693479667867,491.60449365857073,V1,RL
211,237.60693479667867,491.60449365857073,AL,RL
212,237.60693479667867,491.60449365857073,V1,RL
213,237.60693479667867,491.60449365857073,RL,RL
214,237.60693479667867,491.60449365857073,V1,RL
215,274.12750726644794,491.60449365857073,RL,RL
216,387.51649337103737,491.60449365857073,V1,RL
217,304.4290793344507,491.60449365857073,V1,RL
218,143.18306643480256,491.60449365857073,RL,RL
219,143.18306643480256,491.60449365857073,RL,RL
220,199.14675900708517,491.60449365857073,RL,RL
221,199.14675900708517,491.60449365857073,RL,RL
222,110.82449432039162,112.54785552820476,V1,AL
223,110.82449432039162,112.54785552820476,V1,AL
224,327.44750368855654,112.54785552820476,V1,AL
225,303.5861420750665,112.54785552820476,V1,AL
226,158.39025359765503,112.54785552820476,V1,AL
227,132.69559096493742,112.54785552820476,RL,AL
228,132.69559096493742,112.54785552820476,RL,AL
229,197.4014906822681,112.54785552820476,V1,AL
230,134.3332588940146,112.54785552820476,V1,AL
231,194.9007698015052,112.54785552820476,V1,AL
232,201.70146813850448,112.54785552820476,V1,AL
233,205.99112886700274,112.54785552820476,RL,AL
234,205.99112886700274,112.54785552820476,V1,AL
235,186.47850139738824,112.54785552820476,V1,AL
236,186.47850139738824,112.54785552820476,V1,AL
237,186.47850139738824,112.54785552820476,V1,AL
238,179.9819887636478,112.54785552820476,V1,AL
239,423.1930023716789,591.19448405519,V1,AL
240,352.00316232829607,591.19448405519,RL,AL
241,352.00316232829607,591.19448405519,V1,AL
242,422.693961803263,591.19448405519,V1,AL
243,391.9532326152449,591.19448405519,AL,AL
244,391.9532326152449,591.19448405519,AL,AL
245,488.3858037504435,591.19448405519,AL,AL
246,418.6134613236916,591.19448405519,AL,AL
247,418.6134613236916,591.19448405519,V1,AL
248,299.11977939035484,591.19448405519,V1,AL
249,299.11977939035484,591.19448405519,RL,AL
250,247.2966728592418,591.19448405519,RL,AL
251,245.4192387955668,591.19448405519,RL,AL
252,126.30078247570479,591.19448405519,RL,AL
253,332.80197694414346,355.95756573238464,V1,AL
254,201.49280016564876,355.95756573238464,V1,AL
255,288.96591305803037,355.95756573238464,RL,AL
256,403.54312189151005,355.95756573238464,RL,AL
257,394.23441817072194,355.95756573238464,RL,AL
258,423.7790645417724,355.95756573238464,RL,AL
259,312.0230065525702,355.95756573238464,V1,AL
260,326.4736420170682,355.95756573238464,RL,AL
261,326.4736420170682,355.95756573238464,V1,AL
262,313.91682706084646,355.95756573238464,V1,AL
263,240.8884549619626,355.95756573238464,V1,AL
264,130.4055029473636,355.95756573238464,V1,AL
265,130.4055029473636,355.95756573238464,V1,AL
266,384.8292137476202,355.95756573238464,V1,AL
267,404.9282206175363,355.95756573238464,V1,AL
268,406.3621343798228,355.95756573238464,V1,AL
269,213.56774238351227,355.95756573238464,V1,AL
270,213.56774238351227,355.95756573238464,V1,AL
271,182.6027380565182,165.30485280802165,V1,AL
272,182.6027380565182,165.30485280802165,V1,AL
273,171.05541958053112,165.30485280802165,RL,AL
274,327.3516093258367,165.30485280802165,RL,AL
275,269.49620384670044,165.30485280802165,AL,AL
276,441.653359394095,165.30485280802165,V1,AL
277,247.90923766870827,165.30485280802165,V1,AL
278,229.2708196125951,165.30485280802165,V1,AL
279,306.3805595192067,474.3194698271482,V1,AL
280,133.02813066112373,474.3194698271482,RL,AL
281,133.02813066112373,474.3194698271482,RL,AL
282,133.02813066112373,474.3194698271482,V1,AL
283,459.16343816971835,474.3194698271482,V1,AL
284,236.86491924285826,474.3194698271482,V1,AL
285,225.61704823667154,474.3194698271482,V1,AL
286,225.61704823667154,474.3194698271482,RL,AL
287,351.27109055710383,474.3194698271482,RL,AL
288,351.27109055710383,474.3194698271482,RL,AL
289,394.1967028278879,474.3194698271482,RL,AL
290,164.61043908453019,474.3194698271482,V1,AL
291,395.7204412360312,474.3194698271482,V1,AL
292,408.65895785596217,474.3194698271482,RL,AL
293,408.65895785596217,474.3194698271482,RL,AL
294,408.65895785596217,474.3194698271482,RL,AL
295,408.65895785596217,474.3194698271482,RL,AL
296,256.53387409479734,474.3194698271482,RL,AL
297,184.67817538056065,474.3194698271482,V1,AL
298,320.42764507835665,474.3194698271482,V1,AL
299,320.42764507835665,474.3194698271482,V1,AL
300,320.42764507835665,474.3194698271482,V1,AL
301,418.6134613236916,474.3194698271482,RL,AL
302,161.2975024738083,474.3194698271482,RL,AL
303,409.4204504277169,474.3194698271482,RL,AL
304,409.4204504277169,474.3194698271482,RL,AL
305,317.38285513575136,474.3194698271482,V1,AL
306,317.38285513575136,474.3194698271482,V1,AL
307,358.043060902578,474.3194698271482,RL,AL
308,358.043060902578,474.3194698271482,RL,AL
309,358.043060902578,474.3194698271482,RL,AL
310,358.043060902578,474.3194698271482,RL,AL
311,291.5592923833714,474.3194698271482,V1,AL
312,158.62452928764856,474.3194698271482,RL,AL
313,421.250741879228,474.3194698271482,V1,AL
314,262.7681925532984,474.3194698271482,V1,AL
315,185.37287715994992,474.3194698271482,V1,AL
316,459.5729124471208,474.3194698271482,V1,AL
317,163.03094859510725,474.3194698271482,V1,AL
318,260.0904212048278,474.3194698271482,V1,AL
319,263.24781023845014,474.3194698271482,RL,AL
320,259.15401652133016,474.3194698271482,RL,AL
321,259.15401652133016,474.3194698271482,AL,AL
322,391.9532326152449,474.3194698271482,RL,AL
323,445.730304618341,474.3194698271482,V1,AL
324,184.60401414246945,474.3194698271482,V1,AL
325,148.84045489258372,474.3194698271482,V1,AL
326,148.84045489258372,474.3194698271482,V1,AL
327,241.9373154986442,474.3194698271482,V1,AL
328,396.4019351938278,474.3194698271482,RL,AL
329,477.6706156370068,474.3194698271482,V1,AL
330,179.86918703268904,474.3194698271482,V1,AL
331,179.86918703268904,474.3194698271482,V1,AL
332,395.1279342969894,474.3194698271482,V1,AL
333,129.31722211258958,474.3194698271482,V1,AL
334,199.14675900708517,474.3194698271482,RL,AL
335,452.05719347174517,474.3194698271482,RL,AL
336,355.2902036927265,474.3194698271482,RL,AL
337,221.50845633296686,474.3194698271482,AL,AL
338,159.94202718828612,474.3194698271482,RL,AL
339,415.88057551482103,474.3194698271482,AL,AL
340,503.7870649197406,474.3194698271482,RL,AL
341,503.7870649197406,474.3194698271482,RL,AL
342,445.9365440723589,474.3194698271482,V1,AL
343,347.35472130628904,474.3194698271482,RL,AL
344,339.1637499753795,474.3194698271482,V1,AL
345,480.01983489183493,474.3194698271482,AL,AL
346,480.01983489183493,474.3194698271482,V1,AL
347,221.3803948938945,474.3194698271482,RL,AL
348,250.8866586001771,474.3194698271482,RL,AL
349,370.7854808038539,474.3194698271482,RL,AL
350,234.06070441438612,474.3194698271482,RL,AL
351,489.33009874981684,474.3194698271482,V1,AL
352,159.62711789717426,474.3194698271482,V1,AL
353,406.26225136107143,474.3194698271482,V1,AL
354,334.2095610059446,474.3194698271482,V1,AL
355,266.3115042476576,474.3194698271482,V1,AL
356,445.6977603829278,517.1941578800179,V1,RL
357,117.8705383397562,517.1941578800179,V1,RL
358,450.46429357427553,517.1941578800179,V1,RL
359,232.73936372926931,517.1941578800179,V1,RL
360,304.5208996251829,517.1941578800179,V1,RL
361,152.7813332448714,517.1941578800179,V1,RL
362,207.11273268892717,517.1941578800179,V1,RL
363,107.02907810497389,517.1941578800179,V1,RL
364,170.0467899017089,517.1941578800179,V1,RL
365,461.6064436590999,517.1941578800179,V1,RL
366,503.7870649197406,517.1941578800179,V1,RL
367,503.7870649197406,517.1941578800179,V1,RL
368,221.43946936275955,517.1941578800179,RL,RL
369,486.6151892237955,517.1941578800179,V1,RL
370,486.6151892237955,517.1941578800179,RL,RL
371,387.51649337103737,517.1941578800179,RL,RL
372,456.184513869445,517.1941578800179,V1,RL
373,423.7790645417724,517.1941578800179,AL,RL
374,299.11977939035484,517.1941578800179,V1,RL
375,299.11977939035484,517.1941578800179,V1,RL
376,478.7993575636608,517.1941578800179,V1,RL
377,144.7592334831523,517.1941578800179,V1,RL
378,144.7592334831523,517.1941578800179,V1,RL
379,193.83797840639537,149.3126745379308,V1,AL
380,134.54906549834385,149.3126745379308,V1,AL
381,160.406905562218,149.3126745379308,V1,AL
382,183.33908706638363,149.3126745379308,RL,AL
383,198.4589056962962,149.3126745379308,V1,AL
384,198.4589056962962,149.3126745379308,V1,AL
385,229.82569715150277,149.3126745379308,V1,AL
386,150.53320968798204,149.3126745379308,V1,AL
387,215.16113297682134,149.3126745379308,RL,AL
388,195.31599498533103,149.3126745379308,V1,AL
389,195.31599498533103,149.3126745379308,RL,AL
390,195.31599498533103,149.3126745379308,RL,AL
391,232.02676844926742,149.3126745379308,RL,AL
392,197.79400082304252,171.05541958053112,RL,AL
393,220.1972000345919,171.05541958053112,V1,AL
394,220.1972000345919,171.05541958053112,RL,AL
395,384.8292137476202,171.05541958053112,V1,AL
396,276.3191281111433,171.05541958053112,RL,AL
397,327.3516093258367,171.05541958053112,RL,AL
398,158.54056961173757,171.05541958053112,RL,AL
399,211.87698112601396,171.05541958053112,RL,AL
400,211.87698112601396,171.05541958053112,RL,AL
401,115.546634532217,171.05541958053112,RL,AL
402,160.406905562218,171.05541958053112,RL,AL
403,152.45093137790596,171.05541958053112,RL,AL
404,152.45093137790596,171.05541958053112,V1,AL
405,165.30485280802165,171.05541958053112,AL,AL
406,165.30485280802165,171.05541958053112,RL,AL
407,260.9503528286385,171.05541958053112,RL,AL
408,188.79376162441804,171.05541958053112,RL,AL
409,159.02761609123596,171.05541958053112,AL,AL
410,159.02761609123596,171.05541958053112,V1,AL
411,211.1785219781014,171.05541958053112,V1,AL
412,164.61043908453019,171.05541958053112,V1,AL
413,217.58858964870387,171.05541958053112,V1,AL
414,217.58858964870387,171.05541958053112,RL,AL
415,276.7228520088664,171.05541958053112,V1,AL
416,261.03069942734686,171.05541958053112,V1,AL
417,168.820850776497,171.05541958053112,V1,AL
418,168.820850776497,171.05541958053112,V1,AL
419,168.820850776497,171.05541958053112,V1,AL
420,309.9856601501909,514.1134143182263,V1,AL
421,404.6175890918414,514.1134143182263,V1,AL
422,404.6175890918414,514.1134143182263,V1,AL
423,294.8887602567592,514.1134143182263,V1,AL
424,294.8887602567592,514.1134143182263,V1,AL
425,294.8887602567592,514.1134143182263,V1,AL
426,489.85827206289764,514.1134143182263,RL,AL
427,489.85827206289764,514.1134143182263,V1,AL
428,206.9552780433711,514.1134143182263,RL,AL
429,383.90280803490856,514.1134143182263,AL,AL
430,154.6298069760253,514.1134143182263,AL,AL
431,154.6298069760253,514.1134143182263,V1,AL
432,80.38182593061129,514.1134143182263,RL,AL
433,132.42062342229934,514.1134143182263,RL,AL
434,132.42062342229934,514.1134143182263,V1,AL
435,423.7790645417724,514.1134143182263,RL,AL
436,346.590394935813,514.1134143182263,V1,AL
437,406.26225136107143,514.1134143182263,RL,AL
438,241.45974811978178,514.1134143182263,V1,AL
439,175.6712314779128,514.1134143182263,V1,AL
440,304.5208996251829,514.1134143182263,RL,AL
441,139.2640670786958,514.1134143182263,RL,AL
442,250.37906355441473,514.1134143182263,RL,AL
443,403.12260732279003,514.1134143182263,RL,AL
444,131.09445592730498,514.1134143182263,RL,AL
445,131.09445592730498,514.1134143182263,RL,AL
446,172.60684623989957,514.1134143182263,V1,AL
447,314.7628288797165,514.1134143182263,V1,AL
448,242.50410065702576,514.1134143182263,V1,AL
449,385.1225920273014,514.1134143182263,AL,AL
450,317.1685232526598,514.1134143182263,V1,AL
451,317.1685232526598,514.1134143182263,RL,AL
452,351.2411191318493,514.1134143182263,V1,AL
453,351.2411191318493,514.1134143182263,V1,AL
454,351.2411191318493,514.1134143182263,RL,AL
455,351.2411191318493,514.1134143182263,V1,AL
456,207.11273268892717,514.1134143182263,RL,AL
457,305.4343569246331,514.1134143182263,V1,AL
458,427.5749438589507,514.1134143182263,V1,AL
459,381.0933913444737,514.1134143182263,V1,AL
460,214.1667816144338,514.1134143182263,V1,AL
461,274.12750726644794,514.1134143182263,RL,AL
462,225.0428077433522,514.1134143182263,RL,AL
463,245.4192387955668,514.1134143182263,V1,AL
464,245.4192387955668,514.1134143182263,V1,AL
465,245.4192387955668,514.1134143182263,RL,AL
466,245.4192387955668,514.1134143182263,V1,AL
467,190.45712321333266,514.1134143182263,RL,AL
468,300.0625434268451,514.1134143182263,V1,AL
469,211.74423822187265,514.1134143182263,RL,AL
470,211.74423822187265,514.1134143182263,V1,AL
471,207.4718328463635,514.1134143182263,RL,AL
472,207.4718328463635,514.1134143182263,V1,AL
473,285.7097666886564,514.1134143182263,RL,AL
474,285.7097666886564,514.1134143182263,AL,AL
475,298.7659691445566,514.1134143182263,RL,AL
476,311.5682151990997,514.1134143182263,RL,AL
477,371.6277247274568,514.1134143182263,V1,AL
478,299.7329224185921,514.1134143182263,RL,AL
479,299.7329224185921,514.1134143182263,V1,AL
480,230.64484939973738,514.1134143182263,RL,AL
481,151.66409155083232,514.1134143182263,V1,AL
482,151.66409155083232,514.1134143182263,V1,AL
483,401.8108598018317,514.1134143182263,V1,AL
484,352.35630788587974,514.1134143182263,V1,AL
485,422.604801318877,514.1134143182263,AL,AL
486,422.604801318877,514.1134143182263,V1,AL
487,490.8782014413684,514.1134143182263,V1,AL
488,486.51597089325867,514.1134143182263,RL,AL
489,178.44848214548296,514.1134143182263,RL,AL
490,116.73647574692197,514.1134143182263,RL,AL
491,128.36338861047156,514.1134143182263,RL,AL
492,128.36338861047156,514.1134143182263,RL,AL
493,237.60693479667867,514.1134143182263,V1,AL
494,237.60693479667867,514.1134143182263,V1,AL
495,237.60693479667867,514.1134143182263,AL,AL
496,237.60693479667867,514.1134143182263,AL,AL
497,449.5602575535842,514.1134143182263,RL,AL
498,458.91396059348835,514.1134143182263,RL,AL
499,360.6348795639815,514.1134143182263,AL,AL
500,229.7955819616712,514.1134143182263,RL,AL
501,371.39246764578434,514.1134143182263,RL,AL
502,371.39246764578434,514.1134143182263,AL,AL
503,371.39246764578434,514.1134143182263,RL,AL
504,412.7305261723824,514.1134143182263,RL,AL
505,180.4072436728016,514.1134143182263,RL,AL
506,316.5475472036801,514.1134143182263,RL,AL
507,477.9111313490314,514.1134143182263,RL,AL
508,477.9111313490314,514.1134143182263,RL,AL
509,479.00952890532096,514.1134143182263,RL,AL
510,168.9475547183173,514.1134143182263,RL,AL
511,417.7761885012871,514.1134143182263,RL,AL
512,133.02813066112373,514.1134143182263,RL,AL
513,133.02813066112373,514.1134143182263,V1,AL
514,133.02813066112373,514.1134143182263,AL,AL
515,337.10033538782125,514.1134143182263,RL,AL
516,526.5080353419462,514.1134143182263,RL,AL
517,129.31722211258958,514.1134143182263,RL,AL
518,129.31722211258958,514.1134143182263,RL,AL
519,213.56774238351227,514.1134143182263,V1,AL
520,213.56774238351227,514.1134143182263,V1,AL
521,114.4625147656182,514.1134143182263,V1,AL
522,455.31489997831284,514.1134143182263,V1,AL
523,409.4049016102177,514.1134143182263,AL,AL
524,459.5304275895426,514.1134143182263,AL,AL
525,347.47310258501517,514.1134143182263,RL,AL
526,347.47310258501517,514.1134143182263,RL,AL
527,347.47310258501517,514.1134143182263,RL,AL
528,347.47310258501517,514.1134143182263,RL,AL
529,232.34228566020454,514.1134143182263,V1,AL
530,181.03388310527308,514.1134143182263,V1,AL
531,200.14064779445582,514.1134143182263,V1,AL
532,131.9604551610031,514.1134143182263,RL,AL
533,490.3836115772569,514.1134143182263,V1,AL
534,325.95411123100916,514.1134143182263,RL,AL
535,325.95411123100916,514.1134143182263,RL,AL
536,475.30023831585777,514.1134143182263,V1,AL
537,221.46770455146972,514.1134143182263,RL,AL
538,520.4116340554701,514.1134143182263,AL,AL
539,512.579704533376,514.1134143182263,RL,AL
540,89.20229703330487,158.54056961173757,RL,AL
541,204.53909453054618,158.54056961173757,AL,AL
542,235.65776538003092,158.54056961173757,RL,AL
543,168.820850776497,158.54056961173757,RL,AL
544,168.820850776497,158.54056961173757,AL,AL
545,168.820850776497,158.54056961173757,RL,AL
546,168.820850776497,158.54056961173757,RL,AL
547,168.820850776497,158.54056961173757,RL,AL
548,168.820850776497,158.54056961173757,RL,AL
549,115.07779614982014,158.54056961173757,RL,AL
550,150.53320968798204,158.54056961173757,RL,AL
551,340.40125084229066,158.54056961173757,RL,AL
552,340.40125084229066,158.54056961173757,RL,AL
553,340.40125084229066,158.54056961173757,RL,AL
554,340.40125084229066,158.54056961173757,V1,AL
555,189.19690730337024,158.54056961173757,V1,AL
556,460.0339475098296,158.54056961173757,V1,AL
557,276.17985344186593,158.54056961173757,V1,AL
558,255.76058849383512,158.54056961173757,RL,AL
559,157.95884197545058,158.54056961173757,AL,AL
560,109.96806013002934,158.54056961173757,RL,AL
561,109.96806013002934,158.54056961173757,RL,AL
562,190.21403363766177,158.54056961173757,RL,AL
563,190.21403363766177,158.54056961173757,RL,AL
564,269.49620384670044,158.54056961173757,RL,AL
565,244.20694089265373,158.54056961173757,RL,AL
566,320.37570924096514,158.54056961173757,RL,AL
567,215.16113297682134,158.54056961173757,RL,AL
568,244.92751032425562,158.54056961173757,RL,AL
569,244.92751032425562,158.54056961173757,RL,AL
570,135.00426265844175,158.54056961173757,RL,AL
571,230.46603562815028,158.54056961173757,RL,AL
572,181.36954412933468,158.54056961173757,RL,AL
573,384.8292137476202,158.54056961173757,V1,AL
574,384.8292137476202,158.54056961173757,V1,AL
575,200.16723953699187,158.54056961173757,V1,AL
576,162.35179510647322,158.54056961173757,V1,AL
577,171.1138871830585,171.19235430738965,V1,AL
578,171.1138871830585,171.19235430738965,RL,AL
579,397.38342724611675,171.19235430738965,V1,AL
580,193.83797840639537,171.19235430738965,RL,AL
581,170.85990160739078,171.19235430738965,V1,AL
582,215.16113297682134,171.19235430738965,RL,AL
583,447.4391562222111,171.19235430738965,V1,AL
